	GSM7985465_water_r1	GSM7985466_water_r2	GSM7985467_water_r3	GSM7985294_cip_0p78uM_r1	GSM7985295_cip_0p78uM_r2	GSM7985296_cip_0p78uM_r3	GSM7985297_cip_1p56uM_r1	GSM7985298_cip_1p56uM_r2	GSM7985299_cip_1p56uM_r3
PA14_RS00005	723.780819438742	783.932207172848	882.252675057584	1833.62159293345	2112.46226847108	1882.65719458924	2098.8401277249	2071.21307277506	2043.04198552777
PA14_RS00010	566.661139774104	510.867955092766	614.929260446719	1057.7059621575	1058.55592763444	1143.33044220763	968.500161750287	1002.66477777481	1112.84591101098
PA14_RS00015	580.827668268457	474.787393256359	519.273597710563	1270.04093017035	1173.24573531372	1107.98011934785	1282.65978171516	1178.69730036155	1365.16630369367
PA14_RS00020	1808.1641823701	1647.40565293959	1853.32846551303	3762.49625562967	3819.63555439983	3524.93219373201	3329.45730572871	3160.34996690827	3123.87710045214
PA14_RS00025	200.907131374455	211.563294404388	140.921288852373	427.646594455799	389.015428749993	475.714344770136	307.812960975681	306.770127080999	269.267284728545
PA14_RS00030	110.756495501302	60.6809449066849	68.3254733829688	184.552822665379	175.134436050794	120.19109772324	152.319815740543	176.032522586747	171.35190846362
PA14_RS00035	57.9539802041698	82.0012769009256	64.0551312965332	201.420553769205	201.482094571709	186.851706544533	211.343744340004	235.739460072311	216.543620585893
PA14_RS00040	305.224295741961	293.564571305314	459.488808500465	538.775175845705	624.594493172299	646.405903721629	463.940772109738	490.008659364279	498.991821350101
PA14_RS00045	153.25608098436	224.683498708536	251.950183099697	389.942254341366	484.331958105071	408.043726724278	408.090173004872	382.947943872924	372.831625008755
PA14_RS00050	51.5146490703731	22.9603575322592	44.4115576989297	74.4164607521691	88.3421491583649	82.8207564143337	88.2185599497313	37.0594784393153	114.862268310778
PA14_RS00055	151.968214757601	175.482732567981	169.959615040135	446.498764513015	442.485676924793	559.545110409035	347.162246708655	302.652407254408	312.576008845724
PA14_RS00060	25.7573245351866	33.6205235293795	22.2057788494648	69.4553633686912	58.1198349726085	69.6906364949881	53.3119355091901	48.3832079624394	82.8514722241678
PA14_RS00065	96.5899670069496	95.1214812050736	103.34227849174	166.692872084859	146.461984130973	157.561439032147	71.0825806789202	145.149623887318	88.5004362394519
PA14_RS00070	50.2267828436138	53.3008299856016	35.0168051087715	90.2919723792986	78.2680444297794	79.7907287406386	43.1572811264872	65.8835172254493	62.1386041681258
PA14_RS00075	124.923023995655	173.842707029962	102.488210074453	230.194918593377	199.157301172805	222.20202940431	175.167788101625	138.973044147432	105.447328285304
PA14_RS00080	365.754008399649	324.725056527665	340.773298497557	563.580662763094	447.910194855569	435.313975787535	343.354251315141	373.683074263095	374.71461301385
PA14_RS00085	163.559010798435	164.002553801851	182.770641299441	254.008186034071	319.271626782863	240.382195446481	269.098341141626	300.593547341113	306.92704483044
PA14_RS00090	118.483692861858	136.942132424546	162.272999284551	299.650281962068	264.251516342127	236.342158548221	351.604908001087	272.798938511626	246.671428667409
PA14_RS00095	482.949835034748	599.429334145766	649.94606555549	1679.82757404563	1645.95372642427	1678.63533122711	1672.9793095503	1626.49933150328	1600.53980433051
PA14_RS00100	421.1322561503	346.045388521906	390.309266700209	685.623658396652	715.261435729568	726.196632462268	660.052534875687	658.835172254493	751.312214032794
PA14_RS00105	18.0301271746306	14.7602298421666	24.7679841013262	29.7665843008677	34.8719009835651	30.3002767369514	31.7332949459465	23.6768890028959	15.0639040407578
PA14_RS00110	73.4083749252817	104.961634433185	79.4283628077012	202.4127732459	211.556199300295	161.601475930407	191.034435574598	192.50340189311	131.809160356631
PA14_RS00115	41.2117192562985	28.7004469153239	52.0981734545137	80.3697776123427	64.3192840363534	63.6305811475979	76.1599078702716	112.207865274593	50.8406761375575
PA14_RS00120	238.255251950476	173.842707029962	179.354367630293	407.802204921887	411.488431606068	373.703413089067	382.703537048115	404.565972962525	416.140349125933
PA14_RS00125	119.771559088618	59.8609321376757	98.2178679880176	166.692872084859	184.433609646411	114.13104237585	154.2238134373	154.414493497147	186.415812504377
PA14_RS00130	189.316335333621	127.101979196435	151.170109859818	182.568383711988	162.735537923304	182.811669646273	149.781152144867	161.62050319368	139.341112377009
PA14_RS00135	65.6811775647257	37.7205873744258	57.2225839582363	55.564290694953	47.2707991110549	62.6205719230328	41.8879493286494	62.7952273555064	52.7236641426522
